# same word, different pronounciation or different/wrong orthography
لله,الله
للي,اللي
انته,انت
# particle wa
ولا,و لا
وتعالى,و تعالى
وما,و ما
وخاصة,و خاصة
وسهلا,و سهلا
وعلى,و على
وفي,و في
وكذا,و كذا
وهو,و هو
وامر,و امر
وان,و ان
وانت,و انت
واوجه,و اوجه
وبين,و بين
وتميت,و تميت
وتهتمي,و تهتمي
وحبيبة,و حبيبة
وحثيثة,و حثيثة
وحديث,و حديث
وخليتيني,و خليتي
ودعني,و دع
وديتك,وديت
ورحمة,و رحمة
وسهل,و سهل
وسوف,و سوف
وصديقة,و صديقة
وغير,و غير
وقائمة,و قائمة
وقررت,و قررت
وكان,و كان
وكنا,و كنا
ولديها,و لدى
ولكل,و ل كل
ومرحبا,و مرحبا
ومظهرك,و مظهر
ومن,و من
ونرى,و نرى
ونسال,و نسال
ونسولف,و نسولف
ونعي,و نعي
وهناك,و هناك
وهي,و هي
ويا,و يا
ويا,و يا
ريتك,ريت
ويسير,و يسير
ويوم,و يوم
والمعرفة,و ال معرفة
والنمو,و ال نمو
ونسولف,و نسولف
وربة,و ربة
# particle bi
بتسبوحك,ب تسبوح
بخير,ب خير
بخيركنت,ب خير كنت
براسك,ب راس
بسالفة,ب سالفة
بطريقتي,ب طريق
بعقلك,ب عقل
بملابسك,ب ملابس
بان,ب ان
بال,ب ال
بامر,ب امر
بايدنا,ب ايد
بخطة,ب خطة
بسرعة,ب سرعة
بسم,ب اسم
بهذا,ب هذا
بيد,ب يد
بعضها,بعض
بكم,ب
به,ب
بهذه,ب هذه
بواجبها,ب واجب
بجولي,ب جول
# particle fa
فتخلص,ف تخلص
فعندما,ف عندما
فلو,ف لو
فنحمد,ف نحمد
فنساله,ف نسال
فهذه,ف هذه
فهم,ف هم
فانا,ف انا
# particle li
للافضل,ل ال افضل
لمركبته,ل مركبة
لنا,ل
لهم,ل
لاسباب,ل اسباب
لطيبة,ل طيبة
له,ل
لنا,ل
# nouns (or standalone particles, etc.) with suffigated personal pronouns
سبحانه,سبحان
عليكم,على
لك,ل
انها,ان
لدي,لدى
منها,من
اخبارك,اخبار
خبارك,اخبار
اخباركم,اخبار
اختياراتي,اختيارات
اخي,اخ
ادوركم,ادور
ارواحكم,ارواح
افكاري,افكار
اموركم,امور
انه,ان
اني,ان
اهلنا,اهل
جمعنا,جمع
حديثنا,حديث
حرمتك,حرمة
حريمي,حريم
حياتي,حياة
زوجتي,زوجة
شكله,شكل
طرقاتنا,طرقات
علومك,علوم
علومكم,علوم
علي,على
عليك,على
عماركم,عمار
عندك,عند
عندنا,عند
عنده,عند
عنهم,عن
فيكم,في
فيني,في
فيه,في
فيها,في
فيي,في
التيس,ال تيس
اسمه,اسم
اهله,اهل
حالك,حال
حالكم,حال
لديه,لدى
مجالسنا,مجالس
مجتمعه,مجتمع
مطرشني,مطرش
معهم,مع
نزين,زين
نفسه,نفس
هينه,هين
احاسيسي,احاسيس
رباعه,رباع
# verbs + (suffigated lām +) suffigated personal pronoun
قلتله,قلت ل
يهديك,يهدي
ابغاك,ابغى
بغاك,ابغى
تراك,ترى
قالولنا,قالوا ل
ارجعك,ارجع
اسمعني,اسمع
اسميكم,اسمي
اشوفك,اشوف
اشوفه,اشوف
اعرفها,اعرف
اقوله,اقول
اقولها,اقول
اقولهم,اقول
امرنا,امر
اوديك,اودي
تحسسيني,تحسسي
تحلبلي,تحلب ل
تخابرني,تخابر
تراه,ترا
تشوفه,تشوف
تصدقني,تصدق
تلقاه,تلقى
توديني,تودي
تونسوني,تونسوا
انسوني,انسوا
جزاكم,جزى
جننتيني,جننتي
حصلناكم,حصلنا
حياك,حيى
حياكم,حيى
خبرتني,خبرت
زارتنا,زارت
ساعدته,ساعدت
صدقك,صدق
ظلمتني,ظلمت
قلوله,قلوا ل
بسالك,بسال
جانا,جا
حلبوه,حلبوا
راحتنا,راحت
لقيتكم,لقيت
مابيصيبكم,ما بيصيب
ناقصنك,ناقص
ناقصني,ناقص
وديتك,وديت
يتوفاه,يتوفى
يخليك,يخلي
يريحني,يريح
يستره,يستر
يسلمك,يسلم
ينجرك,ينجر
تخوفني,تخوف
داعي,داع ي
# everything that was not caught by anything so far
والازدهار,و ال ازدهار
فل,
اوبتشن,فل-اوبتشن
